amc,population,cod_uf,microregion,mesoregion,dA_soy,dA_mze,rural_91,log_y_pc_r_91,log_pop_area_91,alpha_adult_91,rural,post03,mort_total_violence_ageadj,lincome,unemployment,employment,share_manuf,share_prim,share_nontrad
500710,20945.9999999999,50,50007,5003,2.559504985809326,4.627954959869385,0.5753182172775269,5.085794448852539,-0.2542395293712616,0.7777670621871948,FALSE,1,-29.5887824150838,0.163425919283291,-0.0027259527259943,0.051684016752284,-0.032288347857858,-0.013316206164735,0.056895071645292
500720,89227.0000000014,50,50010,5004,3.0733542442321777,5.000785827636719,0.3344557285308838,5.196512699127197,1.072435736656189,0.8226087093353271,FALSE,1,1.5186811381802,0.1796519254447,-0.0366560519637204,0.04415989827115,0.064872062197287,-0.13138558728834,0.029701435227265
500730,5036,50,50004,5002,2.4988527297973633,5.233054161071777,0.3425911068916321,4.6279168128967285,1.1256886720657349,0.7486437559127808,TRUE,1,0,0.45114000392499,-0.0326773932161665,0.044312228577991,-0.0158915101021668,-0.156645660080182,0.142708707626489
500740,18890.0000000003,50,50003,5002,2.5226516723632813,5.735090732574463,0.17494189739227295,4.9023942947387695,0.6147547960281372,0.7995299696922302,FALSE,1,-26.3037066458898,0.0957192696988205,-0.0128231975213499,0.07285828827912,-0.013729687615674,-0.044964325326092,0.049304228785226
500750,4928.00000000002,50,50004,5002,2.970982551574707,5.699754238128662,0.591809868812561,4.642210960388184,0.8139650821685791,0.7203592658042908,TRUE,1,-12.3940818724762,0.30667564289548,-0.0565333309454538,0.105959156928025,0.05556331082819,-0.097482920775587,0.038790339116938
500755,7259.00000000003,50,50007,5003,2.5929863452911377,5.771632671356201,0.590550422668457,4.771366596221924,-0.10415969789028168,0.7321022152900696,TRUE,1,0,0.31553423683603,-0.0186096797382487,-0.050841647812609,-0.0078220606223796,0.044285033581154,-0.050280578965084
500769,22203.0000000004,50,50003,5002,2.3518571853637695,4.026622772216797,0.2719719409942627,5.396054744720459,1.1385258436203003,0.8918443322181702,FALSE,1,-12.3337606429934,-0.16695752917354,-0.0612362348353451,0.0817048421748959,0.017604823434204,-0.073107234058853,0.031995715494773
500770,10780,50,50011,5004,2.831773519515991,3.059018850326538,0.42885738611221313,4.821352481842041,2.898907423019409,0.8371216654777527,TRUE,1,27.9428577338239,-0.19410390759688,0.00660134226845309,-0.047431124973473,-0.0184680348568295,-0.070260983052081,0.0794689510287291
500780,6286.99999999995,50,50006,5003,2.2698118686676025,5.1873250007629395,0.3437681794166565,4.969125747680664,0.6049466133117676,0.7414638996124268,TRUE,1,0,0.0823154810656295,-0.0978740066544882,0.032134382809705,0.126621058850699,-0.028485462814661,-0.111976225324216
500793,14832.9999999997,50,50003,5002,2.5309998989105225,3.8115644454956055,0.14795666933059692,5.177123546600342,0.3663564920425415,0.7954018712043762,FALSE,1,-43.2263295917668,0.0655871521185905,-0.0351523955324693,0.073807917973027,0.035418624678739,-0.157939330166298,0.095801704008961
500795,10215,50,50011,5004,2.891007661819458,3.125213861465454,0.5180515646934509,4.6165008544921875,1.3990617990493774,0.7336415648460388,TRUE,1,21.2105161952893,0.50109393749011,0.006794539050767,-0.130626365528817,-0.0248727956280192,-0.220298294677827,0.146385455306105
500797,3518.00000000002,50,50008,5003,2.727512836456299,3.2548718452453613,0.4574775695800781,4.731617450714111,1.45924711227417,0.7820529341697693,TRUE,1,0,0.42052169320363,-0.0557743510315984,0.025490024212048,0.0585793927391845,-0.340460225221398,0.179845070403982
500800,17146.0000000003,50,50004,5002,3.0533463954925537,6.137819290161133,0.5105979442596436,4.750701904296875,1.2581621408462524,0.8229017853736877,TRUE,1,14.2001029647833,0.19425120957218,-0.0279374491129761,0.00941365023346097,-0.038315747119846,-0.07127082488789,0.097265446446365
500830,101790.999999996,50,50007,5003,2.10664963722229,4.6874871253967285,0.09005588293075562,5.204526901245117,1.898833155632019,0.8552632927894592,FALSE,1,9.84565988715116,0.19384897177142,-0.0757267461050294,0.116354534408297,0.070694903738289,-0.047398174694469,-0.0555602324453479
500840,5901.00000000009,50,50010,5004,2.9056801795959473,3.26419997215271,0.5029823780059814,4.396412372589111,3.1559841632843018,0.7593991756439209,TRUE,1,-16.8329790392641,0.0972446866104999,-0.113495663983676,0.073009635481902,0.0716483365237268,-0.205312999664105,0.133664663140379
510010,5516,51,51016,5104,1.454688549041748,2.4818196296691895,0.46023088693618774,4.336730480194092,1.8422123193740845,0.7395995259284973,TRUE,1,9.72921073351032,0.11338195747379,-0.0561372005152733,-0.0728474952157669,-0.133551397675454,-0.159384436001247,0.07506166107763
510020,23885,51,51010,5102,2.583045244216919,2.8483550548553467,0.5295443534851074,4.957090377807617,0.3626430630683899,0.8030580282211304,FALSE,1,-3.16986242713955,-0.23634121047649,-0.0409782944863839,-0.035324746251136,0.0461217269327438,-0.141419323669013,0.076136932152934
510030,15644.0000000005,51,51022,5105,2.4116289615631104,2.606175184249878,0.22020763158798218,5.033779621124268,0.6650552749633789,0.8121926188468933,FALSE,1,25.5676221845894,0.27635826584036,-0.0575357601129928,0.0830463831832391,0.0472575754149993,-0.192137745498345,0.02387300569043
510040,10350,51,51022,5105,2.469937324523926,2.500239133834839,0.1508304476737976,4.958612442016602,0.8195232152938843,0.821062445640564,FALSE,1,-24.6295781103169,-0.26731461125397,-0.0153632043153501,0.031111246396185,0.00510709553836079,-0.00927679386668101,-0.009816973659177
510050,10066,51,51015,5104,1.695702075958252,2.127347469329834,0.2935345768928528,4.459751605987549,1.9095202684402466,0.7179415822029114,TRUE,1,6.27842219176831,0.51640634345755,-0.0245642891799102,-0.090653158693531,0.0558194138552674,-0.232561399079492,0.123285283240306
510060,8072.00000000003,51,51022,5105,2.646319627761841,2.699896812438965,0.28946369886398315,5.041680335998535,0.7705672383308411,0.8523576855659485,FALSE,1,39.5242845151625,0.0681456723221494,-0.0609052562499407,0.026913242333459,0.0346514700351834,-0.239059112194273,-0.051646292687512
510100,3197,51,51011,5102,2.2338764667510986,2.7263057231903076,0.3946801424026489,4.796529293060303,-0.6390193104743958,0.7218330502510071,TRUE,1,-29.9592010350016,0.12183616995351,-0.00754160194570599,0.010306000375063,-0.0222205383734574,0.076750646841299,-0.075417785910595
